gliederungsschluessel,gliederungsebene,name,url
10203400,KV,Fürstenfeldbruck,http://gruene-ffb.de/home
10203401,OV,Eichenau,
10203402,OV,Fürstenfeldbruck,
10203403,OV,Germering,
10203404,OV,Grafrath-Kottgeisering,
10203405,OV,Gröbenzell,www.gruene-groebenzell.de
10203407,OV,Maisach,
10203408,OV,Olching,www.gruene-olching.de
10203409,OV,Puchheim,
10203425,OV,Grüner Nordwesten FFB,
10203500,KV,Fürth-Land,http://www.gruene-fuerth-land.de
10203502,OV,Cadolzburg,http://www.gruene-fuerth-land.de/cadolzburg
10203503,OV,Großhabersdorf,http://www.gruene.de/grosshabersdorf
10203504,OV,Langenzenn,http://www.gruene.de/langenzenn
10203505,OV,Oberasbach,http://www.gruene-oberasbach.de/Ebene1/ortsverband.htm
10203506,OV,Roßtal,http://www.rosstal.de/parteien/gruene.htm
10203507,OV,Stein,http://www.gruene-fuerth-land.de/stein
10203508,OV,Zirndorf,http://www.gruene-fuerth-land.de/zirndorf
10203509,OV,Obermichelbach,http://www.gruene-obermichelbach.de
10203510,OV,Wilhermsdorf,
10203600,KV,Fürth-Stadt,http://www.gruene-fuerth.de
10203601,OV,Burgfarrnbach,
10203700,KV,Garmisch-Partenkirchen,www.gruene-gap.de
10203701,OV,Murnau & Umgebung,
10203702,OV,Garmisch-Partenkirchen,
10203800,KV,Günzburg,http://guenzburg.netzbegruenung.de/
10203801,OV,Mindeltal,
10203900,KV,Haßberge,http://www.gruene-hassberge.de
10203901,OV,Knetzgau,
10204000,KV,Hof,http://www.gruene-hof.de
10204002,OV,Schwarzenbach/Saale,
10204003,OV,Bad Steben/Geroldsgrün,
10204200,KV,Ingolstadt,http://www.gruene-ingolstadt.de
10204300,KV,Kelheim,http://www.gruene-KEH.de
10204301,OV,Abensberg,
10204302,OV,Kelheim,http://gruene-keh.de/ortsverbaende/kelheim-ihrlerstein/ortsverband/
10204304,OV,Wildenberg,
10204400,KV,Kempten,http://www.gruene-kempten.de
10204401,OV,Haldenwang,
10204500,KV,Kitzingen,http://www.gruene-kitzingen.de
10204501,OV,Kitzingen,
10204502,OV,Marktbreit,
10204503,OV,Wiesentheid,
10204504,OV,Volkach,
10204600,KV,Kronach,http://www.gruene-kronach.de
10204601,OV,Kronach-Stadt,
10204602,OV,Mitwitz,
10204700,KV,Kulmbach,http://www.gruene-kulmbach.de
10204800,KV,Landsberg-Lech,http://www.gruene-landsberg.de
10204801,OV,Dießen,
10204802,OV,Geltendorf,
10204803,OV,Kaufering,
10204804,OV,Landsberg,
10204805,OV,Schondorf,
10204806,OV,Utting,
10204900,KV,Landshut-Land,http://www.gruene-landshut.de
10204901,OV,Kumhausen,
10204902,OV,Vilsbiburg (Grüne/bul),
10204903,OV,Adlkofen-Blumberg,
10204904,OV,Altdorf (LA),
10205000,KV,Landshut-Stadt,http://www.gruene-landshut.de
10205100,KV,Lichtenfels,http://www.gruene-lichtenfels.de
10205101,OV,Lichtenfels,
10205200,KV,Lindau,https://gruene-lindau.eu
10205202,OV,Röthenbach i. Allgäu,
10205203,OV,Lindenberg,
10205300,KV,Main-Spessart,http://www.gruenemsp.de
10205301,OV,Arnstein,
10205303,OV,Lohr,
